log2FoldChange,pvalue,padj
-0.3378488,0.03060244,0.1047555
-1.008147,0.0001757921,0.002358243
-1.110392,5.309368e-06,0.0001562388
-1.228335,1.545037e-05,0.0003520657
-0.70591,0.01089835,0.05034617
0.6210424,5.326717e-05,0.0009174939
-0.968153,1.599314e-05,0.00036001
0.4806528,0.03889297,0.12576
-1.300439,8.720615e-06,0.000229766
-1.236154,1.61529e-06,6.356882e-05
-0.9532235,5.756851e-06,0.0001657227
-0.7881948,0.0005462589,0.005505086
-1.740674,2.776682e-06,9.699667e-05
-0.7047371,0.006283761,0.03345242
-0.7010225,0.0006263176,0.006028609
0.4422631,0.01234209,0.05489492
-0.5393601,0.03219718,0.1087464
0.4931576,0.02475253,0.08912056
0.5222643,0.02252853,0.08355229
0.6386936,0.01459019,0.06163168
0.73096,0.0001215798,0.001737892
-0.6569141,0.0006001016,0.005848639
-1.855948,8.722577e-07,4.060459e-05
-1.461336,2.757637e-08,2.857512e-06
-0.9369207,0.001188453,0.009634682
-0.8396277,0.001157558,0.009458206
0.4273035,0.03966752,0.1274691
-0.5235045,0.000579627,0.005702722
-0.9272975,0.0006710632,0.006341445
-1.422131,1.458975e-05,0.0003407247
-0.8600843,1.463067e-05,0.0003407247
-0.5582663,0.03912808,0.1261045
0.5971628,0.009971256,0.04714925
-0.6740369,0.01373617,0.05931688
-0.7351009,0.003530332,0.02179901
0.5323421,0.002244328,0.01564488
-0.3530779,0.04672609,0.142423
-0.7621456,0.0009841592,0.008382879
-0.8741966,0.0005091439,0.005181435
0.6881559,0.0009867088,0.008393099
0.4368015,0.02156471,0.08106976
0.5811262,0.00754131,0.03834167
0.7601478,0.002702245,0.01811302
0.5243014,0.004393456,0.02536084
0.6000333,0.02101795,0.07959173
0.5831014,0.006314598,0.03355912
-0.6142464,0.02327967,0.08550087
0.898387,1.532651e-06,6.148403e-05
0.6393932,0.001036968,0.008701574
-0.3024955,0.04712421,0.1434255
-0.9177751,0.0002873792,0.003456333
0.5247264,0.001015375,0.008578262
0.7360519,0.0005795738,0.005702722
0.4585134,0.01567746,0.06511855
-1.048392,0.0001738103,0.002339291
-0.7449389,1.182884e-05,0.0002907184
0.6724486,0.0005048807,0.005146472
-0.4562466,0.0486647,0.1465361
-0.5436338,0.00658728,0.03456515
-1.002857,0.0003212363,0.003719641
0.4305341,0.03165736,0.1072143
-0.5577366,0.03042797,0.1043005
0.59398,1.082301e-05,0.00026919
0.9605314,5.748638e-05,0.0009680488
-0.6338563,0.01984124,0.07691573
0.3998807,0.02050589,0.07846499
0.5879056,0.02849623,0.09915475
0.5547039,0.01402738,0.06027592
-0.5161122,0.0007346435,0.006707802
0.4622801,0.03097496,0.1057093
0.5915086,0.0005648722,0.005628806
-0.6980296,0.0055649,0.0304332
0.6569571,0.006124541,0.03268875
-0.626077,0.005382402,0.02969634
0.7365282,4.474534e-05,0.0007949329
0.5078037,0.01927874,0.07548815
0.7803257,0.001062083,0.008834469
-0.6600231,0.003779653,0.02290632
0.7500094,0.0001108772,0.001622199
0.613865,0.00101924,0.008599236
0.6777298,6.909786e-06,0.0001909558
-1.10204,9.556054e-07,4.337193e-05
-0.6004423,0.003075407,0.01987825
0.6233365,0.0001651463,0.002232347
0.8856199,0.0004825179,0.004992173
-0.5287614,0.03607608,0.1182504
0.3289664,0.01171391,0.05289547
0.8241006,3.770691e-06,0.0001214827
-0.524137,0.02480725,0.08914539
0.398482,0.0140036,0.06025921
0.5286936,0.01709598,0.06925264
0.5438096,0.01796315,0.07157838
0.5497518,0.004035768,0.02396791
-0.5050101,0.01897975,0.07450511
0.5304827,0.008043538,0.04004381
0.4641136,0.03496177,0.1155113
-0.630138,0.009195062,0.04442302
0.416359,0.04739137,0.1439568
0.406211,0.02057802,0.07869257
-0.7156604,0.007119625,0.03664721
-0.4816011,0.01358434,0.05882134
0.5158426,0.002108171,0.0149471
0.7822269,0.0007287035,0.006673164
-0.6776559,0.00548982,0.03010203
-0.7661028,0.000294885,0.003519377
0.7125098,0.001972992,0.01431997
-0.6831069,6.079621e-05,0.001007665
0.6655193,2.716156e-05,0.0005378681
0.5638347,0.01434991,0.06107307
0.9686621,2.350658e-06,8.497901e-05
-0.9857652,0.0006341815,0.006078604
-0.439878,0.02708498,0.09498837
0.5918929,0.012204,0.0545403
-0.8411364,0.003609644,0.02215026
-0.663369,0.01672206,0.06818215
-0.6109375,0.01332054,0.05784017
0.4682797,0.002045295,0.01465166
-0.7668711,0.002875744,0.01890209
-0.65887,0.01094342,0.05047939
0.5562889,0.001391313,0.0110066
-0.3123147,0.03679685,0.1201065
-0.6505296,0.01990083,0.07700272
0.6665077,2.047443e-05,0.0004330272
-0.8972407,0.001545852,0.01192569
-0.5659464,0.02524582,0.09024718
0.8954054,0.0009422013,0.008091999
0.5369011,0.04002271,0.128279
-0.5517492,0.01165953,0.05276488
-1.099744,0.0003165117,0.003685524
0.5626763,8.388007e-05,0.001284646
-0.4122254,0.0432082,0.1342001
-0.9701117,0.000627736,0.006032863
0.656921,0.01189728,0.05349043
-0.5676908,0.03771921,0.1223464
-0.7687428,0.004395299,0.02536084
-0.5637286,0.01453459,0.06154313
-0.7007245,0.01036238,0.04851902
-0.7686719,0.00436904,0.02529487
-0.8953098,1.857553e-10,4.442409e-08
0.7406712,2.341091e-05,0.0004788455
-1.234804,0.0001353148,0.001882298
0.558,0.0008640065,0.007579751
0.6431368,0.0002482067,0.003062201
0.4522552,0.02951641,0.1019543
0.4678692,0.0356437,0.1172659
0.7148941,0.009518958,0.04535546
-0.9196453,1.791544e-05,0.0003908708
-0.5816117,0.03061125,0.1047555
-0.7197202,0.0004654626,0.004872468
-0.4386343,0.02023588,0.07776681
