log2FoldChange,pvalue,padj
-1.48224,5.513778e-06,0.0002196321
0.3659464,0.0345272,0.1337006
-0.3095166,0.03418736,0.132815
-0.4963849,0.002054028,0.01932727
0.2520016,0.04241113,0.1538594
-0.744096,4.721118e-06,0.0001905992
-0.3860514,0.004480193,0.03337799
0.6784277,0.0136461,0.07286455
0.4476762,0.04187224,0.1525636
-0.6259003,9.330556e-05,0.001980166
-0.7170883,3.12585e-06,0.0001345608
0.478394,0.01243038,0.06826427
-0.3629656,0.03040854,0.1239366
0.6734464,0.013967,0.07412118
-2.512738,7.048485e-13,3.828609e-10
0.8274923,0.0006677818,0.008683614
0.3948769,0.03587595,0.1370291
0.3620942,0.04869057,0.1696896
0.6226139,0.0004066377,0.006278192
0.9643498,0.00010968,0.00221398
0.497306,0.01974109,0.09339116
-0.4087807,0.03891637,0.1451066
-0.7385986,0.004612107,0.03397945
0.5613578,0.02759229,0.1166765
0.5314755,0.00839021,0.05178875
-1.125899,2.583737e-06,0.0001196731
0.5386564,0.004016564,0.03084701
0.398491,0.0084173,0.05190234
0.5539292,0.01956978,0.09302264
-1.473949,1.865606e-05,0.0005573498
0.3308416,0.03503906,0.1351571
-0.8404723,0.003390615,0.0275553
-0.6001057,0.004129568,0.03159304
-1.047796,1.327504e-06,6.779346e-05
0.647308,0.01355027,0.07267762
-1.084047,9.482716e-11,3.070702e-08
0.302034,0.03730184,0.140795
0.6147728,0.002097937,0.01964471
-1.872046,3.587282e-08,3.695519e-06
-0.5159484,7.584654e-06,0.0002850208
0.6421254,0.008305888,0.05137441
-0.5802405,0.003821858,0.0299287
-0.7370893,0.005452821,0.03775273
-1.009453,1.267337e-08,1.611135e-06
-0.8660262,0.002828754,0.02431914
-1.826453,1.422015e-06,7.120286e-05
-0.4459628,0.04085194,0.1503019
0.7145025,0.01084134,0.0622856
0.5073063,0.02877606,0.1202356
-0.7812038,0.002542258,0.02257057
-0.8458909,9.40971e-06,0.0003285428
0.6675851,0.009407477,0.05643541
-0.5966933,0.003237516,0.02657165
0.5446841,0.01929583,0.09208671
-0.3212366,0.006758226,0.04389174
-0.5172012,0.03313253,0.1306712
0.7716435,0.004888752,0.03528268
0.4074209,0.04959241,0.1713745
0.617455,0.003740538,0.02940752
-0.5352987,0.02715419,0.1152318
0.7008647,0.00359491,0.02847909
0.4479221,0.005546584,0.03826887
0.6983466,0.004603688,0.0339593
0.8533734,0.002261864,0.02082378
0.6127671,0.01220768,0.06747536
0.8365925,0.004490456,0.03337799
-0.7297543,0.0006011661,0.008071837
0.4771779,0.04617994,0.1642411
0.559361,0.0008520651,0.01038998
0.4102305,0.01670335,0.08399725
0.4431208,0.01487472,0.07721675
-0.7786201,7.310669e-05,0.001648349
-0.5106694,0.03523454,0.135728
0.4218027,0.0213045,0.09803007
-1.124525,2.007458e-08,2.263124e-06
-0.7651673,2.752897e-05,0.0007686242
0.7118133,4.2604e-05,0.001074646
-0.6115609,0.003974533,0.03073222
-0.3945278,0.0198266,0.09372145
0.3515048,0.02054217,0.0961908
0.4974293,0.0003629394,0.005798296
-0.4995481,0.01891995,0.09096247
0.397097,0.01708504,0.08542521
0.44368,0.02950885,0.1219332
-0.4604512,0.03578485,0.1367975
-0.6243117,0.006571993,0.04296243
-0.313704,0.03167896,0.1271201
0.9356533,0.0001360264,0.002621799
-0.3234599,0.01887312,0.09086774
-0.7672649,8.177814e-05,0.001783301
-0.6503726,0.001321653,0.01421669
-0.5446624,0.001595625,0.01615908
0.4381223,0.0262472,0.1124208
0.4759488,0.0321965,0.1282494
-0.6965343,0.009908108,0.05867289
-0.3394371,0.0246466,0.1077853
0.8197255,0.003381172,0.02752384
-0.6145544,0.004683329,0.0344193
0.5265023,0.0009928203,0.01147408
0.4207034,0.006401754,0.04221907
-0.8364298,0.002896308,0.02469436
-1.009859,7.139204e-07,4.265675e-05
-0.6083278,0.02081414,0.09665986
-0.6459222,0.006141336,0.04104197
0.7133083,0.009819032,0.05820309
-0.7663686,3.512847e-05,0.0009205815
-0.6046257,0.0001961488,0.003508949
0.4653908,0.03791515,0.1425219
-0.8284216,0.0004368124,0.006568313
-0.4126009,0.01717973,0.08582685
0.272311,0.04340478,0.1563137
-0.8351433,0.001943434,0.01852902
-0.4932138,0.01163128,0.06537806
-0.4369922,0.02701597,0.1148749
0.4920392,0.03232351,0.1284983
-0.6949226,3.138656e-05,0.0008563228
-0.4604627,0.01555021,0.08002797
-0.652212,0.006308336,0.0417412
-0.7889756,0.0008871639,0.01064419
-0.3006805,0.03227673,0.1284321
0.6005198,0.006595155,0.04301971
-0.7440346,0.0009575538,0.0111528
0.4749998,0.003102215,0.02581579
0.6233157,0.004384693,0.03299564
0.5178709,0.02758449,0.1166765
-1.40184,1.132468e-10,3.383247e-08
-0.474396,0.01749916,0.08698627
0.5979009,0.01754551,0.08707179
-0.3752558,0.03821787,0.1430845
-0.4495647,0.03489183,0.1346762
-0.701894,0.0007386091,0.009260126
-0.36443,0.02155228,0.09875375
-0.4665546,0.003574991,0.02842668
0.6972319,0.0001383311,0.002640665
0.431877,0.01670916,0.08399725
0.6800381,0.0003823396,0.006011787
0.5432789,0.01782523,0.08787602
-0.6086083,0.0001401753,0.002667348
-0.5566223,0.01823569,0.08916856
0.5263927,0.001804203,0.01761456
-0.5048899,0.004063079,0.03112422
-0.5551357,0.0216409,0.09893218
-0.7005263,0.008747664,0.05340246
